,CLAVE CT,NOM TURNO,NOMBRE CT,DOMICILIO,LOCALIDAD INEGI, NOMBRE LOCALIDAD,COLONIA,NOMBRE COLONIA,MUNICIPIO CLAVE INEGI,NOMBRE MUNICIPIO,SOSTENIMIENTO,NIVEL,PROGRAMA,DESERCION INTRACURRICULAR,REPROBACIÓN,REPROBACIÓN  CON REGULARIZADOS,EFICIENCIA TERMINAL, 
11247,14DES0013X,VESPERTINO,JOSE LOPEZ PORTILLO Y W,HERRERA Y CAIRO,1,JUANACATLAN,0,0,51,JUANACATLAN,FEDERALIZADO,SECUNDARIA,GENERAL,0.0483,0.0132,0.011,0.7753,
11248,14DES0014W,MATUTINO,LAZARO CARDENAS DEL RIO,PROLONGACION 20 DE MAYO,13,LAS PINTAS,0,0,70,EL SALTO,FEDERALIZADO,SECUNDARIA,GENERAL,0.0586,0.0429,0.0346,0.8453,
11249,14DES0014W,VESPERTINO,LAZARO CARDENAS DEL RIO,PROLONGACION 20 DE MAYO,13,LAS PINTAS,0,0,70,EL SALTO,FEDERALIZADO,SECUNDARIA,GENERAL,0.1001,0.0608,0.0445,0.7286,
11250,14DES0015V,MATUTINO,ESCUELA SECUNDARIA FEDERAL 65,INDEPENDENCIA 3005,1,TLAQUEPAQUE,6010,TATEPOSCO,98,SAN PEDRO TLAQUEPAQUE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0295,0,0,0.864,
11251,14DES0015V,VESPERTINO,ESCUELA SECUNDARIA FEDERAL 65,INDEPENDENCIA 3005,1,TLAQUEPAQUE,6010,TATEPOSCO,98,SAN PEDRO TLAQUEPAQUE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0473,0.0027,0.0027,0.8165,
11252,14DES0016U,MATUTINO,CALMECAC,LAS ENCINAS,1,PIHUAMO,0,0,65,PIHUAMO,FEDERALIZADO,SECUNDARIA,GENERAL,0.0199,0,0,0.8082,
11253,14DES0017T,MATUTINO,JOSE ANTONIO TORRES,JUAN DEL CARMEN,1,ZAPOPAN,6152,LA PALMITA,120,ZAPOPAN,FEDERALIZADO,SECUNDARIA,GENERAL,0.03,0.0193,0.0167,0.92,
11254,14DES0017T,VESPERTINO,JOSE ANTONIO TORRES,JUAN DEL CARMEN,1,ZAPOPAN,6152,LA PALMITA,120,ZAPOPAN,FEDERALIZADO,SECUNDARIA,GENERAL,0.0661,0.1338,0.0846,0.7542,
11255,14DES0018S,MATUTINO,VICENTE GUERRERO,3 DE MAYO 122,2,BUENAVISTA,0,0,77,SAN MARTIN HIDALGO,FEDERALIZADO,SECUNDARIA,GENERAL,0,0,0,1,
11256,14DES0019R,MATUTINO,PEDRO MORENO,FRANCISCO I MADERO 501,1,SAN DIEGO DE ALEJANDRIA,0,0,72,SAN DIEGO DE ALEJANDRIA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0643,0.0055,0.0027,0.9091,
